"max_lag","geom","pois","lin","unres"
1,6671.09296710393,6671.09296710393,6671.09296710393,6671.09296710393
2,6600.8035369041,6600.8035369041,6600.8035369041,6600.8035369041
3,6565.22264335361,6576.72847102539,6574.81729664584,6554.53035733771
4,6560.09208826073,6573.97632873302,6574.81729664584,6553.99523795637
5,6558.8675428572,6573.62478700262,6574.81729664584,6555.18584757453
6,6558.46786897233,6573.58406519123,6574.81729664584,6557.09049238784
7,6558.80520452692,6573.58297154906,6574.81729664584,6559.0936398733
8,6559.00725757624,6573.58294223291,6574.81729664584,6561.09107748749
9,6559.09607852292,6573.58294065787,6574.81729664584,6563.18591011223
10,6559.15776293298,6573.58294117564,6574.81729664584,6565.09773299021
